Exchange,name,code,night,night_dict,day,day_dict,everning_end
上海期货交易所,铜,CU,21:00-次日1:00,"[{'start': [21, 0, 0], 'end': [23, 59, 59]}, {'start': [0, 0, 0], 'end': [1, 0, 0]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2013-12-21': {'hour': '1', 'min': '00'}}"
上海期货交易所,铜期权,CU-C/P,21:00-次日1:00,"[{'start': [21, 0, 0], 'end': [23, 59, 59]}, {'start': [0, 0, 0], 'end': [1, 0, 0]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2019-12-25':{'hour': '1', 'min':'00'}}"
上海期货交易所,铝,AL,21:00-次日1:00,"[{'start': [21, 0, 0], 'end': [23, 59, 59]}, {'start': [0, 0, 0], 'end': [1, 0, 0]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2013-12-21': {'hour': '1', 'min': '00'}}"
上海期货交易所,铝期权,AL-C/P,21:00-次日1:00,"[{'start': [21, 0, 0], 'end': [23, 59, 59]}, {'start': [0, 0, 0], 'end': [1, 0, 0]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2019-12-25':{'hour': '1', 'min':'00'}}"
上海期货交易所,铅,PB,21:00-次日1:00,"[{'start': [21, 0, 0], 'end': [23, 59, 59]}, {'start': [0, 0, 0], 'end': [1, 0, 0]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2013-12-20': {'hour': '1', 'min': '00'}}"
上海期货交易所,锌,ZN,21:00-次日1:00,"[{'start': [21, 0, 0], 'end': [23, 59, 59]}, {'start': [0, 0, 0], 'end': [1, 0, 0]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2013-12-20': {'hour': '1', 'min': '00'}}"
上海期货交易所,锌期权,ZN-C/P,21:00-次日1:00,"[{'start': [21, 0, 0], 'end': [23, 59, 59]}, {'start': [0, 0, 0], 'end': [1, 0, 0]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2019-12-25':{'hour': '1', 'min':'00'}}"
上海期货交易所,锡,SN,21:00-次日1:00,"[{'start': [21, 0, 0], 'end': [23, 59, 59]}, {'start': [0, 0, 0], 'end': [1, 0, 0]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2015-12-30': {'hour': '1', 'min': '00'}}"
上海期货交易所,镍,NI,21:00-次日1:00,"[{'start': [21, 0, 0], 'end': [23, 59, 59]}, {'start': [0, 0, 0], 'end': [1, 0, 0]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2015-03-25': {'hour': '1', 'min': '00'}}"
上海期货交易所,不锈钢,SS,21:00-次日1:00,"[{'start': [21, 0, 0], 'end': [23, 59, 59]}, {'start': [0, 0, 0], 'end': [1, 0, 0]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2019-12-25':{'hour': '2', 'min':'30'}}"
上海期货交易所,黄金,AU,21:00-次日2:30,"[{'start': [21, 0, 0], 'end': [23, 59, 59]}, {'start': [0, 0, 0], 'end': [2, 30, 0]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2013-12-5':{'hour': '2', 'min':'30'}}"
上海期货交易所,白银,AG,21:00-次日2:30,"[{'start': [21, 0, 0], 'end': [23, 59, 59]}, {'start': [0, 0, 0], 'end': [2, 30, 0]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2013-07-06': {'hour': '2', 'min': '30'}}"
上海期货交易所,黄金期权,AU-C/P,21:00-次日2:30,"[{'start': [21, 0, 0], 'end': [23, 59, 59]}, {'start': [0, 0, 0], 'end': [2, 30, 0]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2019-12-25':{'hour': '2', 'min':'30'}}"
上海期货交易所,螺纹钢,RB,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2016-05-03': {'hour': '23', 'min': '00'}}"
上海期货交易所,热轧卷板,HC,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2014-12-26': {'hour': '1', 'min': '00'}, '2016-05-03': {'hour': '23', 'min': '00'}}"
上海期货交易所,石油沥青,BU,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2014-12-27': {'hour': '1', 'min': '00'}, '2016-05-03': {'hour': '23', 'min': '00'}}"
上海期货交易所,天然橡胶,RU,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2015-01-05': {'hour': '23', 'min': '00'}}"
上海期货交易所,燃料油,FU,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2015-01-05':{'hour': '23', 'min':'00'}}"
上海期货交易所,纸浆,SP,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2015-01-05':{'hour': '23', 'min':'00'}}"
上海期货交易所,橡胶期权,RU-C/P,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2015-01-05':{'hour': '23', 'min':'00'}}"
上海期货交易所,线材,WR,无,[],上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]",{}
大连商品交易所,黄大豆1号,A,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2015-05-08':{'hour':'23','min':'30'},'2019-03-29':{'hour': '23', 'min':'00'}}"
大连商品交易所,黄大豆2号,B,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2015-05-08':{'hour':'23','min':'30'},'2019-03-29':{'hour': '23', 'min':'00'}}"
大连商品交易所,豆粕,M,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2015-05-08': {'hour': '23', 'min': '30'}, '2019-03-29': {'hour': '23', 'min': '00'}}"
大连商品交易所,豆粕期权,M-C/P,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2015-05-08':{'hour':'23','min':'30'},'2019-03-29':{'hour': '23', 'min':'00'}}"
大连商品交易所,豆油,Y,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2015-05-08': {'hour': '23', 'min': '30'}, '2019-03-29': {'hour': '23', 'min': '00'}}"
大连商品交易所,棕榈油,P,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2015-05-08': {'hour': '23', 'min': '30'}, '2019-03-29': {'hour': '23', 'min': '00'}}"
大连商品交易所,铁矿石,I,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2015-05-08': {'hour': '23', 'min': '30'}, '2019-03-29': {'hour': '23', 'min': '00'}}"
大连商品交易所,焦炭,J,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2015-05-08': {'hour': '23', 'min': '30'}, '2019-03-29': {'hour': '23', 'min': '00'}}"
大连商品交易所,焦煤,JM,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2015-05-08': {'hour': '23', 'min': '30'}, '2019-03-29': {'hour': '23', 'min': '00'}}"
大连商品交易所,米,C,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2019-03-29': {'hour': '23', 'min': '00'}}"
大连商品交易所,玉米淀粉,CS,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2019-03-29':{'hour': '23', 'min':'00'}}"
大连商品交易所,聚乙烯,L,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2019-03-29': {'hour': '23', 'min': '00'}}"
大连商品交易所,聚氯乙烯,V,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2019-03-29': {'hour': '23', 'min': '00'}}"
大连商品交易所,聚丙烯,PP,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2019-03-29': {'hour': '23', 'min': '00'}}"
大连商品交易所,乙二醇,EG,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2019-03-29':{'hour': '23', 'min':'00'}}"
大连商品交易所,玉米期权,C-C/P,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2019-03-29':{'hour': '23', 'min':'00'}}"
大连商品交易所,粳米,RR,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2019-08-16':{'hour': '23', 'min':'00'}}"
大连商品交易所,苯乙烯,EB,21:00-23:00,"[{'start': [21, 0, 0], 'end': [23, 30, 00]}]",上午：09:00-10:15 10:30-11:30 下午：13:30-15:00,"[{'start': [9, 0, 0], 'end': [10, 15, 0]}, {'start': [10, 30, 0], 'end': [11, 30, 0]}, {'start': [13, 30, 0], 'end': [15, 0, 0]}]","{'2019-09-26':{'hour': '23', 'min':'00'}}"
